Genus,Family,Order,HybProp,Hyb_Ratio,perc_per,perc_wood,perc_ag,floral_symm,mating_system,repro_syndrome,pollination_syndrome,RedList,tavg,C_value,CV_C_value,Phylo_Dist_Root,Phylo_Branch_Len,Salinity_Tol
Sibara,Brassicaceae,Brassicales,0.0,0.0,0.0,0.0,0.00485306,0.0,0.998958333325,0.90956349205,0.9974160206744186,2.9222222222222225,0.4929733334,0.8330963370185186,,20.0,1.0,8.045977011494253
Sibbaldia,Rosaceae,Rosales,0.0,0.0,1.0,1.0,0.001060071,0.0,1.0,0.5,1.0,2.1739697801,0.8256875,0.7405270453157895,,22.0,1.0,2.7777777777777777
Sibthorpia,Plantaginaceae,Lamiales,0.0,0.0,1.0,0.0,0.005925926,1.0,1.0,0.5,0.834375,1.5,0.6612222223333334,1.208066109923077,,22.0,1.0,6.896551724137931
Sicyos,Cucurbitaceae,Cucurbitales,1.098901099,0.071428571,0.285714286,0.071428571,0.024852071,0.0,0.75,1.0,1.0,2.0,0.498,1.0245289855,,20.0,1.0,0.0
Sida,Malvaceae,Malvales,0.0,0.0,0.861111111,0.25,0.006153846,0.0,1.0,1.0,1.0,3.56964285725,0.3485,0.98,,28.0,1.0,17.24137931034483
Sidalcea,Malvaceae,Malvales,0.0,0.0,0.82,0.02,0.006153846,0.0,1.0,1.0,0.9333333333,3.56964285725,0.3485,1.2520882353333334,,32.0,1.0,17.24137931034483
Sidastrum,Malvaceae,Malvales,0.0,0.0,1.0,0.5,0.006153846,0.0,1.0,1.0,0.9333333333,3.56964285725,0.3485,1.2520882353333334,,20.0,1.0,17.24137931034483
Sideritis,Lamiaceae,Lamiales,0.0,0.0,0.857142857,0.107142857,0.004320557,0.958333333375,1.0,0.7129528985652174,1.0,1.5795454545454546,0.664,1.878571429,5.970752188,33.0,1.0,2.127659574468085
Sigesbeckia,Asteraceae,Asterales,0.0,0.0,0.0,0.0,0.00210989,0.015625,1.0,1.0,1.0,2.58694816475,0.6654010416875,3.3862005286025645,,26.0,1.0,7.835820895522388
Silene,Caryophyllaceae,Caryophyllales,0.007905138,0.010869565,0.612403101,0.007246377,0.001818182,0.0,1.0,0.92,0.983333333,3.166666667,0.8765,2.411428571,28.51414179,22.0,1.0,13.793103448275861
Silphium,Asteraceae,Asterales,0.0,0.0,1.0,0.0,0.00210989,0.015625,0.9667911996712328,0.761325295527027,0.9507266543025208,2.58694816475,0.6654010416875,3.3862005286025645,,40.0,1.0,7.835820895522388
